token_text,count,pct_of_onsets,benchmarks,labels,mean_p,mean_q,mean_p_over_q,mean_u,mean_target_rank,mean_target_top1_prob,mean_target_top1_margin,mean_target_entropy,mean_draft_entropy,mean_kl_target_draft,mean_kl_draft_target,mean_tv_distance,mean_consecutive_accepted_length,share_strict_would_accept,share_lossy_would_accept,share_actually_accepted,share_lossy_only_accepted
Spec,2,0.6024096385542169,aime24,unproductive_repetition,0.01630476,0.00408416,4.095649,0.27224864,8.5,0.513188,0.4968835,2.051085,2.2776300000000003,0.33165500000000003,0.24794500000000003,0.22757,4.0,1.0,1.0,1.0,0.0
The,2,0.6024096385542169,"livecodebench,longbench_v2",unproductive_repetition,0.18398859,0.2445091,0.752482,0.51882261,2.0,0.389504,0.205515,1.93765,2.37182,1.34864,0.79935,0.37044,5.5,1.0,1.0,1.0,0.0
This,2,0.6024096385542169,livecodebench,unproductive_repetition,0.320335555,0.26216339499999997,1.8069935,0.648276805,0.0,0.32033599999999995,0.0,2.08631,2.28796,0.53028,0.54116,0.39608,1.5,1.0,1.0,1.0,0.0
d,2,0.6024096385542169,aime24,unproductive_repetition,0.05834384,0.033514955,0.887913,0.271561425,33.5,0.6436885,0.585345,1.29621,3.148475,1.7809300000000001,2.561385,0.7371099999999999,1.0,0.5,0.5,0.5,0.0
" """,1,0.30120481927710846,aime24,unproductive_repetition,0.65069401,0.3633686,1.790727,0.91183925,0.0,0.650694,0.0,1.50171,1.9063,0.88452,0.70113,0.38781,5.0,1.0,1.0,1.0,0.0
 (,1,0.30120481927710846,aime24,unproductive_repetition,0.00166151,0.00306411,0.542248,0.2025688,21.0,0.46069,0.459028,2.00875,2.95548,1.21386,1.38482,0.49058,5.0,1.0,1.0,1.0,0.0
 /,1,0.30120481927710846,aime24,unproductive_repetition,,,,,,,,,,,,,6.0,,,,
 =>,1,0.30120481927710846,aime24,unproductive_repetition,0.75871974,0.83446783,0.909226,0.41747275,0.0,0.75872,0.0,1.10696,0.68758,0.25017,0.09221,0.10675,3.0,1.0,1.0,1.0,0.0
 After,1,0.30120481927710846,livecodebench,unproductive_repetition,0.03442792,0.22509375,0.152949,0.85065663,5.0,0.370135,0.335707,2.19195,2.20571,0.88265,0.79537,0.55461,2.0,0.0,0.0,0.0,0.0
 Because,1,0.30120481927710846,mtbench,unproductive_repetition,0.00889923,0.05736565,0.155132,0.0516971,16.0,0.333941,0.325042,2.86888,2.93192,0.57665,0.58951,0.43866,2.0,1.0,1.0,1.0,0.0
 D,1,0.30120481927710846,aime24,unproductive_repetition,0.35996982,0.95788914,0.375795,0.06626712,0.0,0.35997,0.0,1.59127,0.33683,3.06193,0.98817,0.62143,6.0,1.0,1.0,1.0,0.0
 Dist,1,0.30120481927710846,aime24,unproductive_repetition,0.00014701,0.01188379,0.012371,0.55390722,62.0,0.22036,0.220213,2.46751,3.38356,1.04006,1.57877,0.60371,1.0,0.0,0.0,0.0,0.0
 If,1,0.30120481927710846,aime24,unproductive_repetition,0.07829212,0.08324745,0.940475,0.59633982,1.0,0.578505,0.500213,1.96728,2.74064,0.26956,0.42216,0.2919,1.0,1.0,1.0,1.0,0.0
 In,1,0.30120481927710846,aime24,unproductive_repetition,0.00312562,0.00414024,0.754937,0.13095708,9.0,0.674947,0.671821,1.2642,2.40194,0.50256,0.57062,0.45309,2.0,1.0,1.0,1.0,0.0
 L,1,0.30120481927710846,aime24,unproductive_repetition,0.85768354,0.84621608,1.013551,0.2411319,0.0,0.857684,0.0,0.47852,0.82157,0.05591,0.16563,0.05523,1.0,1.0,1.0,1.0,0.0
 Let's,1,0.30120481927710846,livecodebench,unproductive_repetition,1.15e-06,0.00075091,0.001538,0.17482033,295.0,0.767029,0.767028,1.07083,1.67804,0.27844,0.4178,0.30616,1.0,0.0,0.0,0.0,0.0
 Number,1,0.30120481927710846,aime24,unproductive_repetition,0.39114317,0.19178711,2.039465,0.58769655,0.0,0.391143,0.0,2.18231,2.97304,0.4033,0.50773,0.34312,3.0,1.0,1.0,1.0,0.0
 Option,1,0.30120481927710846,longbench_v2,unproductive_repetition,0.12763114,0.43188298,0.295523,0.25378841,1.0,0.144625,0.016994,2.72593,2.37057,1.44111,1.1293,0.61563,2.0,1.0,1.0,1.0,0.0
 The,1,0.30120481927710846,aime24,unproductive_repetition,0.03672057,0.11869066,0.30938,0.35347474,3.0,0.506912,0.470191,1.71273,1.80274,0.16376,0.18238,0.17995,3.0,0.0,1.0,1.0,1.0
 There,1,0.30120481927710846,aime24,unproductive_repetition,3.993e-05,0.00591379,0.006751,0.28178743,137.0,0.251955,0.251915,2.46487,3.4019,0.58847,0.78986,0.40073,5.0,0.0,0.0,0.0,0.0
